Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
74,Jeff Agoos\Jeff-Agoos,us USA,DF,D.C. United,31,23,23,0,2089,91,1,2,0,0,20,3,0,6,0.04,0.13,0.04,0.13,0.26,0.86,0.13
75,Dario Brose\Dario-Brose,us USA,MF,San Jose Earthquakes,30,28,21,7,2088,75,5,3,2,2,39,5,0,27,0.22,0.34,0.13,0.26,1.16,1.68,0.22
76,Geoff Aunger\Geoff-Aunger,ca CAN,FWMFDF,D.C. United,31,26,22,4,2081,80,1,2,0,0,67,11,0,7,0.04,0.13,0.04,0.13,0.30,2.90,0.48
77,Jorge Rodríguez\Jorge-Rodriguez,sv SLV,DF,Dallas Burn,28,25,22,3,2066,83,4,3,1,1,22,3,1,8,0.17,0.30,0.13,0.26,0.35,0.96,0.17
78,Ryan Tinsley\Ryan-Tinsley,us USA,MF,San Jose Earthquakes,28,25,23,2,2048,82,0,1,0,0,31,3,0,0,0.00,0.04,0.00,0.04,0.00,1.36,0.13
79,Paul Bravo\Paul-Bravo,us USA,MFFW,Colorado Rapids,31,27,24,3,2009,74,7,2,2,2,36,3,0,22,0.31,0.40,0.22,0.31,0.99,1.61,0.13
80,Joe Franchino\Joe-Franchino,us USA,DFMF,New England Revolution,23,22,22,0,2004,91,2,2,0,0,37,5,0,5,0.09,0.18,0.09,0.18,0.22,1.66,0.22
81,Nick Rimando\Nick-Rimando,us USA,GK,Miami Fusion,20,22,22,0,2002,91,0,2,0,0,1,0,0,0,0.00,0.09,0.00,0.09,0.00,0.04,0.00
82,Henry Gutierrez\Henry-Gutierrez,us USA,MFFW,Miami Fusion,31,27,23,4,1994,74,3,2,2,3,33,4,1,16,0.14,0.23,0.05,0.14,0.72,1.49,0.23
83,Mo Johnston\Mo-Johnston,sco SCO,FW,Kansas City Wizards,36,25,22,3,1982,79,4,2,0,0,39,6,0,18,0.18,0.27,0.18,0.27,0.82,1.77,0.27
84,Brian Kamler\Brian-Kamler,us USA,MF,Miami Fusion,27,28,20,8,1977,71,0,2,0,0,19,3,0,5,0.00,0.09,0.00,0.09,0.23,0.86,0.14
85,Jeff Causey\Jeff-Causey,us USA,GK,New England Revolution,28,22,21,1,1975,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Carlos Llamosa\Carlos-Llamosa,us USA,DF,D.C. United,30,23,20,3,1974,86,2,0,0,0,55,8,1,3,0.09,0.09,0.09,0.09,0.14,2.51,0.41
87,Brian Dunseth\Brian-Dunseth,us USA,DF,New England Revolution,22,22,22,0,1970,90,1,0,0,0,24,3,0,3,0.05,0.05,0.05,0.05,0.14,1.10,0.14
88,Mike Ammann\Mike-Ammann,us USA,GK,MetroStars,28,22,22,0,1960,89,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09
89,Diego Gutiérrez\Diego-Gutierrez,us USA,DFMF,Chicago Fire,27,24,23,1,1959,82,2,7,0,1,36,3,1,12,0.09,0.41,0.09,0.41,0.55,1.65,0.18
90,Sasha Victorine\Sasha-Victorine,us USA,MFFW,LA Galaxy,21,26,21,5,1953,75,3,4,0,0,37,0,0,17,0.14,0.32,0.14,0.32,0.78,1.71,0.00
91,Martín Machón\Martin-Machon,gt GUA,MF,Miami Fusion,26,24,21,3,1952,81,2,10,0,0,21,1,0,16,0.09,0.55,0.09,0.55,0.74,0.97,0.05
92,Leo Cullen\Leo-Cullen,us USA,DF,Miami Fusion,23,22,22,0,1944,88,0,0,0,0,17,4,0,0,0.00,0.00,0.00,0.00,0.00,0.79,0.19
