name,startDate,endDate,league,hyphen
Marc Bergevin,1985,2004,nhl,false
Niclas Bergfors,2008,2012,nhl,false
Stefan Bergkvist,1996,1997,nhl,false
Tim Bergland,1990,1994,nhl,false
Bob Bergloff,1983,1983,nhl,false
Bo Berglund,1984,1986,nhl,false
Christian Berglund,2002,2004,nhl,false
Patrik Berglund,2009,2019,nhl,false
Gary Bergman,1965,1976,nhl,false
Thommie Bergman,1973,1980,nhl,false
Jonas Bergqvist,1990,1990,nhl,false
Adam Berkhoel,2006,2006,nhl,false
Louis Berlinguette,1918,1926,nhl,false
Tim Bernhardt,1983,1987,nhl,false
Jonathan Bernier,2008,2019,nhl,false
Serge Bernier,1969,1981,nhl,false
Steve Bernier,2006,2018,nhl,false
Reto Berra,2014,2018,nhl,false
Bob Berry,1969,1977,nhl,false
Brad Berry,1986,1994,nhl,false
Doug Berry,1980,1981,nhl,false
Fred Berry,1977,1977,nhl,false
Ken Berry,1982,1989,nhl,false
Rick Berry,2001,2004,nhl,false
Daniel Berthiaume,1987,1994,nhl,false
Adam Berti,2008,2008,nhl,false
Eric Bertrand,2000,2001,nhl,false
Christoph Bertschy,2016,2018,nhl,false
Todd Bertuzzi,1996,2014,nhl,false
Tyler Bertuzzi,2017,2019,nhl,false
Craig Berube,1987,2003,nhl,false
Jean-Francois Berube,2016,2018,nhl,false
Phil Besler,1936,1939,nhl,false
Pete Bessone,1938,1938,nhl,false
Allan Bester,1984,1996,nhl,false
John Bethel,1980,1980,nhl,false
Karel Betik,1999,1999,nhl,false
Maxim Bets,1994,1994,nhl,false
Sam Bettio,1950,1950,nhl,false
Blair Betts,2002,2011,nhl,false
Jeff Beukeboom,1987,1999,nhl,false
Bill Beveridge,1930,1943,nhl,false
Nick Beverley,1967,1980,nhl,false
Goran Bezina,2004,2004,nhl,false
Dwight Bialowas,1974,1977,nhl,false
Frank Bialowas,1994,1994,nhl,false
Wayne Bianchin,1974,1980,nhl,false
Antoine Bibeau,2017,2017,nhl,false
Paul Bibeault,1941,1947,nhl,false
Radim Bicanek,1995,2002,nhl,false
Jiri Bicek,2001,2004,nhl,false
Stu Bickel,2012,2015,nhl,false
Bryan Bickell,2007,2017,nhl,false
Todd Bidner,1982,1982,nhl,false
Alex Biega,2015,2019,nhl,false
Danny Biega,2015,2015,nhl,false
Kevin Bieksa,2006,2018,nhl,false
Zac Bierk,1998,2004,nhl,false
Don Biggs,1985,1990,nhl,false
Larry Bignell,1974,1974,nhl,false
Chris Bigras,2016,2018,nhl,false
Craig Billington,1986,2003,nhl,false
Chad Billins,2014,2014,nhl,false
Gilles Bilodeau,1980,1980,nhl,false
Andre Binette,1955,1955,nhl,false
Les Binkley,1968,1972,nhl,false
Jordan Binnington,2016,2019,nhl,false
Jack Bionda,1956,1959,nhl,false
Martin Biron,1996,2014,nhl,false
Mathieu Biron,2000,2006,nhl,false
Sebastien Bisaillon,2007,2007,nhl,false
Mike Bishai,2004,2004,nhl,false
Ben Bishop,2009,2019,nhl,false
Clark Bishop,2019,2019,nhl,false
Tom Bissett,1991,1991,nhl,false
Paul Bissonnette,2009,2014,nhl,false
Anthony Bitetto,2015,2019,nhl,false
Richard Bittner,1950,1950,nhl,false
Byron Bitz,2009,2012,nhl,false
Anders Bjork,2018,2019,nhl,false
Oliver Bjorkstrand,2016,2019,nhl,false
Nick Bjugstad,2013,2019,nhl,false
Scott Bjugstad,1984,1992,nhl,false
James Black,1990,2001,nhl,false
Steve Black,1950,1951,nhl,false
Bob Blackburn,1969,1971,nhl,false
Dan Blackburn,2002,2003,nhl,false
Don Blackburn,1963,1973,nhl,false
Jesse Blacker,2015,2015,nhl,false
Colin Blackwell,2019,2019,nhl,false
MacKenzie Blackwood,2019,2019,nhl,false
Hank Blade,1947,1948,nhl,false
Tom Bladon,1973,1981,nhl,false
Garry Blaine,1955,1955,nhl,false
Andy Blair,1929,1937,nhl,false
Chuck Blair,1949,1949,nhl,false
Dusty Blair,1951,1951,nhl,false
Sammy Blais,2018,2019,nhl,false
Mike Blaisdell,1981,1989,nhl,false
Bob Blake,1936,1936,nhl,false
Jason Blake,1999,2012,nhl,false
Mickey Blake,1933,1936,nhl,false
Mike Blake,1982,1984,nhl,false
Rob Blake,1990,2010,nhl,false
Toe Blake,1935,1948,nhl,false
Nicolas Blanchard,2013,2013,nhl,false
Joseph Blandisi,2016,2019,nhl,false
Zdenek Blatny,2003,2006,nhl,false
Anton Blidh,2017,2018,nhl,false
Rick Blight,1976,1983,nhl,false
Russ Blinco,1934,1939,nhl,false
Mario Bliznak,2010,2011,nhl,false
Ken Block,1971,1971,nhl,false
Jeff Bloemberg,1989,1992,nhl,false
Timo Blomqvist,1982,1987,nhl,false
Arto Blomsten,1994,1996,nhl,false
Mike Bloom,1975,1977,nhl,false
Sylvain Blouin,1997,2003,nhl,false
John Blue,1993,1996,nhl,false
Teddy Blueger,2019,2019,nhl,false
John Blum,1983,1990,nhl,false
Jonathon Blum,2011,2015,nhl,false
Mike Blunden,2007,2018,nhl,false
Sergei Bobrovsky,2011,2019,nhl,false
Brandon Bochenski,2006,2010,nhl,false
Bob Bodak,1988,1990,nhl,false
Gregg Boddy,1972,1976,nhl,false
Doug Bodger,1985,2000,nhl,false
Troy Bodie,2009,2015,nhl,false
Gus Bodnar,1944,1955,nhl,false
Andrew Bodnarchuk,2010,2016,nhl,false
Mikkel Boedker,2009,2019,nhl,false
Ron Boehm,1968,1968,nhl,false
Garth Boesch,1947,1950,nhl,false
Brock Boeser,2017,2019,nhl,false
Zach Bogosian,2009,2019,nhl,false
Eric Boguniecki,2000,2007,nhl,false
Rick Boh,1988,1988,nhl,false
Lonny Bohonos,1996,1999,nhl,false
Alexandre Boikov,2000,2001,nhl,false
Marc Boileau,1962,1962,nhl,false
Patrick Boileau,1997,2004,nhl,false
Rene Boileau,1926,1926,nhl,false
Fred Boimistruck,1982,1983,nhl,false
Danny Bois,2007,2007,nhl,false
Gilles Boisvert,1960,1960,nhl,false
Serge Boisvert,1983,1988,nhl,false
Claude Boivin,1992,1995,nhl,false
Leo Boivin,1952,1970,nhl,false
Mike Boland,1975,1979,nhl,false
Mike Boland,1975,1975,nhl,false
Ivan Boldirev,1971,1985,nhl,false
Alexandre Bolduc,2009,2015,nhl,false
Danny Bolduc,1979,1984,nhl,false
Michel Bolduc,1982,1983,nhl,false
